"Randomly generated prices between 30 and 200 - n = 10000	",
172,63.2374
173,188.269
174,148.061
175,146.618
176,52.0662
177,88.8793
178,104.55
179,113.638
180,63.1477
181,129.739
182,178.708
183,181.307
184,95.9179
185,42.9299
186,176.037
187,159.556
188,122.766
189,173.678
190,70.8663
191,160.39
192,55.7438
193,98.3458
194,144.25
195,31.9077
196,31.8638
197,165.8
198,112.7
199,153.002
200,128.862
201,192.059
202,124.547
203,34.7453
204,60.2946
205,193.601
206,49.5303
207,88.7342
208,75.5294
209,110.358
210,134.934
211,38.1675
212,37.5754
213,138.442
214,40.1922
215,140.488
216,116.799
217,172.179
218,123.377
219,109.021
220,106.456
221,104.204
222,154.915
223,188.88
224,140.661
225,186.05
226,160.934
227,93.1611
228,155.706
229,154.458
230,103.627
231,66.412
232,100.1
233,129.901
234,179.976
235,190.135
236,37.4223
237,62.3456
238,171.093
239,75.7795
240,109.261
241,149.314
242,64.7033
243,184.027
244,120.103
245,146.692
246,49.2814
247,180.785
248,66.2135
249,167.453
250,120.257
251,165.305
252,39.0422
253,101.065
254,191.494
255,40.1348
256,132.287
257,161.429
258,71.0709
259,156.734
260,191.386
261,98.1909
262,67.7139
263,66.3569
264,36.8716
265,192.358
266,74.8664
267,193.784
268,188.953
269,77.6993
270,33.8731
271,44.1693
272,76.9378
273,197.466
274,42.1635
275,141.15
276,92.8057
277,81.247
278,163.356
279,54.2212
280,183.209
281,196.814
282,37.2039
283,40.8978
284,197.918
285,44.1006
286,184.163
287,179.31
288,115.681
289,86.8496
290,32.0344
291,131.463
292,34.7355
293,183.388
294,160.784
295,60.4316
296,60.5079
297,108.305
298,125.569
299,87.2616
300,52.9665
301,70.4922
302,168.432
303,48.4418
304,86.1279
305,62.5534
306,101.259
307,78.6646
308,79.6955
309,31.2576
310,101.2
311,88.8267
312,58.2907
313,33.2253
314,46.2331
315,43.6371
316,82.1335
317,51.3455
318,116.479
319,36.5843
320,156.122
321,154.926
322,48.0424
323,174.627
324,163.496
325,111.528
326,147.975
327,77.2149
328,49.3501
329,66.841
330,36.2885
331,195.303
332,46.7243
333,149.924
334,141.481
335,93.4385
336,84.8263
337,56.8701
338,127.091
339,179.821
340,115.982
341,195.827
342,163.177
343,51.8733
344,186.029
345,53.4185
346,89.7808
347,83.7002
348,167.948
349,134.598
350,129.09
351,186.891
352,47.1838
353,43.8191
354,186.49
355,131.567
356,186.147
357,64.6367
358,59.4357
359,156.805
360,163.203
361,158.46
362,189.698
363,50.4757
364,112.362
365,132.335
366,47.7229
367,172.91
368,62.5375
369,64.2786
370,33.5815
371,76.1236
372,138.439
373,171.35
374,143.059
375,180.862
376,99.355
377,74.2302
378,151.778
379,67.8503
380,173.412
381,62.3931
382,102.137
383,164.366
384,157.441
385,67.4192
386,42.2298
387,107.445
388,84.0967
389,65.4262
390,89.8061
391,60.9748
392,170.097
393,56.0688
394,185.919
395,95.7336
396,180.607
397,180.742
398,100.072
399,47.7853
400,179.997
401,116.627
402,198.05
403,134.526
404,157.311
405,137.746
406,34.6722
407,191.955
408,32.7462
409,165.515
410,49.9927
411,39.0492
412,115.413
413,115.321
414,151.481
415,136.209
416,104.215
417,40.4275
418,47.0728
419,88.7482
420,92.6543
421,46.3471
422,122.833
423,75.4782
424,118.032
425,179.557
426,86.7699
427,163.558
428,131.415
429,180.785
430,191.679
431,168.93
432,84.9695
433,111.296
434,184.773
435,114.932
436,82.6977
437,148.118
438,147.454
439,103.752
440,92.8227
441,91.1659
442,176.403
443,152.649
444,145.432
445,71.9851
446,60.6313
447,57.1727
448,105.574
449,75.4148
450,195.493
451,55.6835
452,179.968
453,84.5405
454,32.379
455,169.369
456,149.145
457,49.4953
458,121.859
459,131.421
460,171.158
461,32.5024
462,97.3172
463,196.332
464,67.8071
465,84.9179
466,61.893
467,127.047
468,82.4127
469,182.366
470,75.3557
471,30.163
472,58.0379
473,117.226
474,156.891
475,113.641
476,134.748
477,41.4217
478,99.3398
479,61.2145
480,46.2251
481,167.814
482,103.265
483,37.9789
484,155.378
485,35.102
486,183.497
487,80.3712
488,170.984
489,41.2862
490,184.88
491,162.694
492,73.1981
493,67.0169
494,49.9956
495,193.014
496,172.017
497,76.6164
498,149.581
499,153.285
500,147.053
501,171.34
502,111.04
503,150.656
504,188.677
505,110.841
506,198.76
507,108.886
508,85.0763
509,101.514
510,189.504
511,171.602
512,48.5267
513,127.808
514,64.125
515,169.736
516,59.3258
517,36.6121
518,124.221
519,199.599
520,137.649
521,199.918
522,68.4053
523,138.009
524,176.838
525,94.8065
526,89.4656
527,156.95
528,50.3045
529,101.306
530,131.303
531,54.0562
532,117.438
533,176.085
534,58.8882
535,191.277
536,145.217
537,122.239
538,184.534
539,158.581
540,67.6975
541,156.491
542,130.494
543,136.81
544,120.916
545,113.199
546,193.27
547,85.3796
548,126.494
549,92.2271
550,117.327
551,139.829
552,164.696
553,103.942
554,48.9732
555,117.507
556,178.638
557,161.129
558,190.628
559,117.588
560,36.7239
561,133.31
562,113.549
563,107.271
564,143.772
565,123.424
566,192.359
567,82.2253
568,71.6379
569,89.966
570,103.084
571,170.566
572,137.532
573,81.3724
574,147.22
575,60.1743
576,168.986
577,49.3327
578,123.046
579,105.909
580,121.269
581,105.383
582,183.967
583,66.1296
584,83.0108
585,194.298
586,57.1437
587,130.071
588,47.5239
589,194.346
590,99.2829
591,148.938
592,145.817
593,194.812
594,92.8157
595,136.046
596,79.0372
597,61.3241
598,122.693
599,138.959
600,121.94
601,115.495
602,165.938
603,30.8012
604,187.616
605,41.3497
606,128.65
607,32.8487
608,131.61
609,70.4565
610,190.823
611,30.4616
612,139.244
613,156.225
614,189.517
615,171.511
616,47.4599
617,137.139
618,158.374
619,32.9638
620,100.372
621,145.971
622,50.5843
623,79.139
624,54.9884
625,68.6842
626,128.279
627,184.344
628,67.5842
629,31.2379
630,146.141
631,151.556
632,179.765
633,182.364
634,198.889
635,128.066
636,166.961
637,184.346
638,61.8712
639,60.279
640,62.7649
641,159.855
642,157.913
643,197.079
644,87.6054
645,198.61
646,65.4556
647,58.7849
648,49.0871
649,172.316
650,179.432
651,194.092
652,74.158
653,146.495
654,37.6402
655,108.613
656,81.1287
657,168.542
658,50.9509
659,146.991
660,83.0947
661,39.6038
662,176.039
663,103.688
664,177.381
665,151.906
666,162.104
667,158.075
668,94.6584
669,103.509
670,105.356
671,58.1141
672,105.76
673,188.455
674,80.5215
675,136.221
676,198.135
677,42.4875
678,170.326
679,167.78
680,117.696
681,53.7838
682,54.6188
683,162.83
684,152.161
685,43.3062
686,74.327
687,91.3156
688,155.825
689,191.795
690,131.697
691,38.7131
692,92.9292
693,70.9486
694,165.145
695,37.312
696,66.2112
697,162.53
698,70.1074
699,31.7633
700,90.5419
701,71.5413
702,186.312
703,101.816
704,188.757
705,95.4797
706,85.7868
707,40.9653
708,112.332
709,105.83
710,133.737
711,119.452
712,38.5538
713,75.3299
714,133.94
715,43.8673
716,191.978
717,148.995
718,31.0323
719,102.859
720,179.724
721,158.495
722,52.406
723,191.413
724,84.14
725,150.918
726,81.3579
727,71.8998
728,104.789
729,98.7102
730,84.9602
731,76.1036
732,112.363
733,178.053
734,31.179
735,142.462
736,113.508
737,195.644
738,52.5513
739,166.597
740,43.4231
741,86.3876
742,167.764
743,184.502
744,113.43
745,147.914
746,133.288
747,140.612
748,68.4037
749,41.3851
750,121.684
751,100.139
752,40.0516
753,55.5179
754,53.6064
755,180.717
756,167.764
757,164.654
758,108.503
759,105.101
760,91.1463
761,143.757
762,92.0611
763,103.196
764,92.269
765,146.219
766,128.482
767,135.732
768,80.3615
769,105.694
770,41.4206
771,108.58
772,51.2899
773,171.34
774,33.9727
775,170.273
776,88.2845
777,127.624
778,80.4234
779,112.651
780,151.817
781,65.7495
782,182.671
783,36.6589
784,161.772
785,105.832
786,154.558
787,124.278
788,45.9566
789,161.246
790,79.1929
791,52.4335
792,109.446
793,160.683
794,126.012
795,173.895
796,98.4427
797,78.4119
798,169.7
799,115.797
800,63.0872
801,68.3266
802,173.57
803,153.917
804,184.044
805,159.076
806,153.828
807,162.567
808,127.542
809,186.466
810,135.608
811,177.41
812,31.6089
813,128.882
814,124.254
815,133.71
816,166.735
817,121.829
818,147.782
819,61.0867
820,198.293
821,87.2263
822,180.978
823,84.4962
824,110.077
825,106.897
826,41.4088
827,162.96
828,168.808
829,73.7865
830,72.4498
831,186.464
832,44.4781
833,34.4838
834,146.437
835,140.762
836,179.251
837,56.7796
838,186.232
839,136.419
840,178.417
841,78.1755
842,120.263
843,171.532
844,160.404
845,86.8343
846,74.6172
847,187.049
848,42.4015
849,130.95
850,101.649
851,108.883
852,154.432
853,59.9362
854,71.927
855,82.7896
856,51.9911
857,106.617
858,71.1152
859,165.441
860,181.99
861,122.199
862,194.657
863,93.5397
864,146.923
865,41.8308
866,38.9878
867,112.77
868,168.951
869,149.751
870,115.734
871,158.888
872,84.6214
873,85.526
874,165.544
875,175.083
876,172.931
877,112.338
878,86.9054
879,133.629
880,196.126
881,119.784
882,110.298
883,44.9589
884,161.34
885,197.162
886,48.897
887,194.019
888,71.1996
889,133.222
890,50.8493
891,75.8062
892,105.811
893,90.7172
894,130.854
895,151.479
896,190.554
897,135.746
898,134.795
899,122.774
900,73.9575
901,102.068
902,122.436
903,81.8283
904,107.677
905,43.4162
906,105.421
907,76.9619
908,100.82
909,150.019
910,137.7
911,50.9548
912,178.938
913,152.885
914,71.7489
915,175.272
916,59.0693
917,54.7941
918,88.474
919,123.954
920,44.9079
921,195.551
922,142.497
923,84.2323
924,76.9125
925,122.572
926,168.31
927,191.569
928,111.196
929,105.281
930,69.625
931,99.9761
932,53.9308
933,179.34
934,125.57
935,135.439
936,35.2519
937,100.16
938,75.1026
939,107.811
940,118.823
941,121.551
942,135.743
943,194.511
944,189.162
945,56.2937
946,90.0729
947,166.73
948,158.631
949,48.0548
950,189.022
951,72.3601
952,41.6428
953,139.515
954,81.1255
955,123.609
956,149.085
957,64.3452
958,140.96
959,128.068
960,35.0908
961,131.246
962,82.888
963,154.725
964,83.9921
965,78.5402
966,153.634
967,183.096
968,36.7408
969,145.679
970,179.579
971,149.152
972,79.5704
973,122.524
974,106.131
975,127.434
976,37.4271
977,62.5385
978,78.639
979,85.9415
980,134.46
981,36.5184
982,56.8603
983,131.46
984,166.688
985,199.098
986,133.1
987,145.665
988,134.292
989,58.3521
990,180.695
991,168.896
992,64.1613
993,83.7926
994,122.418
995,185.591
996,139.01
997,171.9
998,33.0876
999,159.946
1000,69.198
1001,89.1236
1002,104.092
1003,69.6938
1004,111.297
1005,49.9522
1006,182.971
1007,118.778
1008,95.9199
1009,176.299
1010,168.727
1011,57.5513
1012,139.121
1013,77.2866
1014,78.7381
1015,80.8344
1016,60.0407
1017,172.841
1018,161.236
1019,163.575
1020,90.0487
1021,43.5382
1022,108.93
1023,65.7803
1024,76.9324
1025,153.258
1026,164.051
1027,97.415
1028,132.027
1029,152.927
1030,47.3738
1031,76.2981
1032,45.8507
1033,162.777
1034,131.867
1035,126.848
1036,166.59
1037,115.032
1038,148.723
1039,123.666
1040,123.544
1041,171.788
1042,66.4
1043,153.05
1044,117.684
1045,36.0144
1046,61.0559
1047,63.9095
1048,111.607
1049,113.259
1050,123.099
1051,151.834
1052,154.743
1053,32.5109
1054,131.302
1055,196.327
1056,69.0784
1057,97.5058
1058,78.9626
1059,78.6605
1060,78.085
1061,50.6334
1062,120.925
1063,132.33
1064,34.0877
1065,172.313
1066,112.654
1067,35.9583
1068,83.3212
1069,79.2611
1070,99.2852
1071,77.6628
1072,101.055
1073,165.629
1074,40.1602
1075,53.3016
1076,157.966
1077,31.9732
1078,78.5215
1079,187.781
1080,165.88
1081,80.8926
1082,177.981
1083,98.251
1084,176.949
1085,135.88
1086,65.3286
1087,182.144
1088,60.6611
1089,124.417
1090,170.695
1091,127.756
1092,68.0846
1093,163.849
1094,107.098
1095,73.4013
1096,125.558
1097,50.03
1098,169.205
1099,118.139
1100,151.523
1101,128.194
1102,73.3332
1103,82.8757
1104,131.001
1105,180.047
1106,148.23
1107,58.0058
1108,108.573
1109,152.643
1110,163.871
1111,127.38
1112,121.63
1113,112.967
1114,101.162
1115,69.282
1116,123.255
1117,152.88
1118,171.76
1119,156.442
1120,139.857
1121,157.218
1122,83.7173
1123,70.7509
1124,49.1155
1125,177.397
1126,127.39
1127,158.552
1128,149.43
1129,166.225
1130,170.574
1131,140.331
1132,58.7447
1133,58.4177
1134,136.281
1135,84.8783
1136,186.377
1137,58.083
1138,34.4298
1139,193.004
1140,80.7421
1141,48.6778
1142,73.6404
1143,60.9429
1144,193.658
1145,149.106
1146,167.602
1147,182.926
1148,119.992
1149,42.5069
1150,62.8628
1151,40.6276
1152,182.705
1153,192.873
1154,55.6962
1155,189.907
1156,113.259
1157,173.062
1158,131.905
1159,124.733
1160,119.461
1161,30.8125
1162,73.7181
1163,50.078
1164,39.7461
1165,54.2162
1166,163.145
1167,76.8568
1168,143.061
1169,123.677
1170,68.1731
1171,148.777
1172,49.7929
1173,141.889
1174,149.544
1175,147.311
1176,109.665
1177,61.2447
1178,64.1878
1179,166.915
1180,31.3414
1181,197.798
1182,74.3588
1183,51.382
1184,159.419
1185,172.538
1186,78.3414
1187,58.3648
1188,179.207
1189,134.977
1190,170.674
1191,38.6293
1192,112.4
1193,194.173
1194,117.185
1195,104.73
1196,104.471
1197,91.9507
1198,45.8153
1199,164.032
1200,104.783
1201,34.1349
1202,51.877
1203,53.5889
1204,48.3185
1205,90.9538
1206,115.638
1207,193.818
1208,48.029
1209,59.6325
1210,47.5523
1211,98.8066
1212,189.121
1213,127.067
1214,188.876
1215,156.245
1216,60.2419
1217,71.1733
1218,70.6208
1219,90.0331
1220,154.707
1221,61.0268
1222,150.994
1223,94.473
1224,73.9975
1225,84.5433
1226,179.276
1227,144.821
1228,108.78
1229,133.809
1230,63.1537
1231,135.096
1232,37.5055
1233,42.9955
1234,55.1755
1235,123.446
1236,191.225
1237,177.211
1238,168.986
1239,44.3429
1240,70.5649
1241,175.606
1242,116.766
1243,119.914
1244,100.879
1245,88.688
1246,157.863
1247,152.691
1248,151.988
1249,177.359
1250,173.346
1251,80.9235
1252,122.181
1253,112.406
1254,167.159
1255,132.391
1256,194.942
1257,32.4215
1258,117.942
1259,52.6157
1260,177.8
1261,84.9234
1262,170.437
1263,158.866
1264,94.9928
1265,74.4743
1266,64.7275
1267,193.605
1268,125.336
1269,53.5945
1270,110.941
1271,86.692
1272,156.529
1273,134.467
1274,96.2265
1275,66.2947
1276,82.4546
1277,81.0234
1278,101.41
1279,99.4615
1280,94.0317
1281,179.878
1282,140.381
1283,124.943
1284,96.9189
1285,179.527
1286,150.078
1287,199.571
1288,106.16
1289,46.8065
1290,139.358
1291,52.7792
1292,93.6295
1293,92.7837
1294,73.9103
1295,178.971
1296,117.739
1297,93.1911
1298,170.776
1299,135.981
1300,129.844
1301,148.653
1302,52.3436
1303,73.8612
1304,78.1657
1305,45.612
1306,173.267
1307,153.065
1308,175.96
1309,134.871
1310,63.2721
1311,87.1192
1312,53.9271
1313,144.101
1314,93.5745
1315,106.93
1316,144.311
1317,160.04
1318,175.521
1319,111.686
1320,68.9189
1321,186.69
1322,56.121
1323,189.614
1324,89.4659
1325,186.004
1326,56.7345
1327,96.1808
1328,127.684
1329,99.6614
1330,51.1439
1331,190.403
1332,116.244
1333,130.697
1334,144.241
1335,47.0455
1336,77.2256
1337,94.7953
1338,55.8945
1339,119.204
1340,50.2608
1341,71.5393
1342,119.087
1343,67.9526
1344,52.7536
1345,64.4602
1346,186.099
1347,100.89
1348,78.1241
1349,57.2937
1350,127.215
1351,120.628
1352,129.04
1353,176.875
1354,61.5924
1355,85.2859
1356,121.216
1357,105.586
1358,48.5474
1359,56.3088
1360,169.383
1361,109.228
1362,134.23
1363,140.561
1364,54.2265
1365,166.827
1366,164.271
1367,105.709
1368,159.644
1369,159.593
1370,47.5202
1371,167.488
1372,112.62
1373,120.225
1374,76.3887
1375,133.685
1376,122.359
1377,105.093
1378,87.7495
1379,41.502
1380,191.108
1381,149.418
1382,103.146
1383,139.577
1384,162.282
1385,155.949
1386,132.691
1387,119.724
1388,190.996
1389,195.211
1390,57.5353
1391,89.1757
1392,71.8724
1393,111.118
1394,151.69
1395,130.543
1396,63.1065
1397,70.1209
1398,168.617
1399,98.7175
1400,105.063
1401,185.781
1402,167.445
1403,107.762
1404,59.38
1405,193.134
1406,47.621
1407,103.305
1408,39.7202
1409,184.924
1410,176.027
1411,107.7
1412,43.6231
1413,104.888
1414,120.15
1415,105.339
1416,148.471
1417,90.6849
1418,196.132
1419,66.7617
1420,82.6866
1421,131.44
1422,48.3987
1423,162.601
1424,178.96
1425,161.015
1426,121.964
1427,55.6674
1428,124.159
1429,79.5547
1430,52.2837
1431,96.0594
1432,181.623
1433,114.754
1434,69.0812
1435,131.109
1436,61.6652
1437,109.173
1438,66.207
1439,148.268
1440,163.227
1441,160.643
1442,51.4599
1443,167.974
1444,142.923
1445,127.005
1446,198.046
1447,31.9084
1448,138.376
1449,131.7
1450,106.457
1451,168.496
1452,189.694
1453,192.464
1454,137.026
1455,118.912
1456,172.738
1457,153.516
1458,158.087
1459,38.9075
1460,158.671
1461,199.42
1462,64.4594
1463,129.282
1464,189.01
1465,55.7767
1466,98.364
1467,115.42
1468,151.982
1469,95.5757
1470,161.365
1471,70.567
1472,136.605
1473,160.366
1474,72.1749
1475,102.795
1476,90.7701
1477,48.9338
1478,114.817
1479,53.0168
1480,165.317
1481,187.707
1482,85.3215
1483,188.36
1484,181.166
1485,99.2654
1486,59.1245
1487,171.521
1488,99.2021
1489,125.55
1490,127.201
1491,38.9747
1492,30.4294
1493,120.527
1494,186.245
1495,45.4679
1496,38.3694
1497,105.18
1498,139.343
1499,147.613
1500,50.8213
1501,171.093
1502,113.792
1503,178.852
1504,142.024
1505,108.062
1506,38.7842
1507,53.7061
1508,54.0699
1509,125.952
1510,123.891
1511,52.6694
1512,60.3491
1513,189.498
1514,161.469
1515,73.1038
1516,175.864
1517,43.0872
1518,111.384
1519,177.105
1520,102.503
1521,159.064
1522,148.9
1523,42.698
1524,135.855
1525,41.3008
1526,38.7411
1527,121.939
1528,149.708
1529,75.075
1530,180.495
1531,68.0975
1532,145.343
1533,194.356
1534,50.0666
1535,32.0639
1536,149.466
1537,148.571
1538,136.802
1539,159.679
1540,164.78
1541,173.711
1542,129.996
1543,56.5715
1544,184.211
1545,89.2473
1546,39.6815
1547,33.7897
1548,64.6765
1549,91.8689
1550,196.574
1551,33.8546
1552,178.746
1553,93.7463
1554,178.303
1555,116.618
1556,165.432
1557,120.052
1558,59.8963
1559,178.566
1560,188.612
1561,196.908
1562,162.242
1563,30.6123
1564,183.598
1565,86.3391
1566,52.558
1567,31.5423
1568,104.004
1569,144.308
1570,76.6226
1571,122.023
1572,99.0146
1573,183.471
1574,71.54
1575,152.086
1576,143.941
1577,168.552
1578,167.086
1579,75.3691
1580,148.455
1581,52.3096
1582,110.943
1583,195.458
1584,60.4439
1585,90.6625
1586,86.2911
1587,115.716
1588,38.5531
1589,134.455
1590,62.4735
1591,73.0054
1592,100.132
1593,176.557
1594,83.3633
1595,197.129
1596,173.879
1597,88.1015
1598,193.283
1599,164.36
1600,111.488
1601,58.9375
1602,183.25
1603,63.0191
1604,106.11
1605,169.66
1606,108.976
1607,182.058
1608,177.902
1609,136.04
1610,45.3147
1611,102.259
1612,95.1689
1613,196.7
1614,182.313
1615,179.45
1616,70.0092
1617,194.927
1618,33.8272
1619,117.896
1620,101.797
1621,50.5144
1622,168.621
1623,118.488
1624,195.909
1625,118.041
1626,45.5721
1627,75.4296
1628,82.9746
1629,60.3597
1630,90.7626
1631,167.472
1632,123.35
1633,167.448
1634,168.44
1635,42.3765
1636,72.9102
1637,55.2767
1638,144.419
1639,168.308
1640,72.5538
1641,115.909
1642,197.86
1643,176.953
1644,176.351
1645,124.506
1646,36.6912
1647,168.637
1648,129.891
1649,47.4109
1650,72.8266
1651,199.956
1652,187.267
1653,182.148
1654,143.252
1655,196.511
1656,108.49
1657,68.8265
1658,137.185
1659,31.6092
1660,59.2119
1661,157.14
1662,37.6948
1663,193.71
1664,189.115
1665,81.8407
1666,127.686
1667,112.79
1668,81.2588
1669,118.506
1670,162.993
1671,157.218
1672,70.6194
1673,58.3023
1674,88.8566
1675,155.641
1676,85.1542
1677,79.2143
1678,35.6763
1679,114.539
1680,96.7457
1681,124.093
1682,99.7784
1683,106.31
1684,81.8149
1685,150.605
1686,33.7986
1687,138.84
1688,100.929
1689,93.1648
1690,171.083
1691,116.252
1692,159.346
1693,148.981
1694,44.0895
1695,197.026
1696,192.545
1697,40.7544
1698,183.737
1699,119.397
1700,138.231
1701,124.405
1702,148.422
1703,131.241
1704,98.4231
1705,59.7139
1706,90.7788
1707,74.0155
1708,120.361
1709,174.819
1710,58.7405
1711,170.595
1712,162.154
1713,151.428
1714,106.367
1715,133.835
1716,197.237
1717,116.924
1718,110.452
1719,72.6108
1720,81.6624
1721,122.831
1722,109.972
1723,123.628
1724,123.291
1725,196.756
1726,161.98
1727,158.788
1728,167.109
1729,109.24
1730,46.6845
1731,181.691
1732,106.046
1733,45.7329
1734,167.821
1735,71.05
1736,55.4684
1737,68.1791
1738,49.1617
1739,125.908
1740,74.7188
1741,118.772
1742,100.145
1743,137.03
1744,166.439
1745,152.29
1746,60.0036
1747,56.7191
1748,196.398
1749,110.857
1750,64.8114
1751,140.068
1752,173.046
1753,141.581
1754,146.324
1755,182.552
1756,132.676
1757,90.9992
1758,136.228
1759,171.768
1760,66.9939
1761,151.347
1762,102.818
1763,143.092
1764,193.408
1765,119.929
1766,126.548
1767,117.121
1768,98.2542
1769,139.361
1770,110.661
1771,94.5351
1772,145.087
1773,71.6798
1774,177.131
1775,192.513
1776,46.5177
1777,94.4622
1778,186.226
1779,164.926
1780,57.037
1781,32.8557
1782,89.396
1783,106.291
1784,157.591
1785,65.061
1786,183.952
1787,149.837
1788,163.029
1789,72.9048
1790,35.0515
1791,184.663
1792,114.333
1793,185.125
1794,128.295
1795,51.3436
1796,112.299
1797,135.021
1798,111.101
1799,135.955
1800,116.597
1801,145.32
1802,195.47
1803,83.5551
1804,55.3256
1805,105.194
1806,38.8489
1807,196.02
1808,106.741
1809,166.487
1810,166.396
1811,101.496
1812,193.226
1813,178.299
1814,150.068
1815,47.7941
1816,150.854
1817,151.073
1818,113.896
1819,37.2629
1820,127.748
1821,105.201
1822,144.021
1823,68.0052
1824,49.9182
1825,153.917
1826,66.9862
1827,53.0418
1828,173.646
1829,103.43
1830,96.5457
1831,70.3576
1832,94.126
1833,54.3251
1834,184.682
1835,79.7757
1836,63.0304
1837,197.378
1838,184.61
1839,84.1757
1840,144.458
1841,88.9285
1842,132.048
1843,74.5969
1844,109.77
1845,129.677
1846,78.2433
1847,35.0827
1848,165.358
1849,176.588
1850,148.866
1851,83.9974
1852,168.974
1853,122.831
1854,108.993
1855,65.8338
1856,153.893
1857,191.203
1858,68.2202
1859,123.611
1860,194.529
1861,108.3
1862,113.485
1863,46.992
1864,149.037
1865,98.9732
1866,50.6136
1867,182.96
1868,176.747
1869,175.117
1870,79.3511
1871,193.096
1872,70.5488
1873,152.344
1874,198.057
1875,181.222
1876,77.3421
1877,197.962
1878,71.0262
1879,176.07
1880,187.928
1881,85.4605
1882,132.815
1883,125.345
1884,136.26
1885,130.093
1886,181.983
1887,32.1299
1888,105.184
1889,79.5133
1890,161.405
1891,195.125
1892,189.397
1893,95.34
1894,37.1906
1895,89.0554
1896,91.5128
1897,122.692
1898,88.5916
1899,56.3745
1900,44.2761
1901,113.768
1902,53.1222
1903,34.2435
1904,128.305
1905,147.941
1906,85.3541
1907,66.5071
1908,41.5773
1909,72.6559
1910,69.2264
1911,174.68
1912,153.292
1913,180.871
1914,129.94
1915,170.845
1916,157.957
1917,116.568
1918,121.458
1919,188.8
1920,193.425
1921,75.6598
1922,112.591
1923,187.563
1924,184.509
1925,150.223
1926,179.188
1927,116.025
1928,120.871
1929,148.331
1930,47.3569
1931,52.8378
1932,101.191
1933,183.383
1934,162.461
1935,189.898
1936,169.77
1937,77.9645
1938,44.0281
1939,147.226
1940,48.4391
1941,53.7105
1942,69.0501
1943,57.7866
1944,79.5462
1945,116.255
1946,138.922
1947,154.768
1948,179.192
1949,184.707
1950,89.8477
1951,141.507
1952,57.2191
1953,90.1148
1954,95.7002
1955,192.609
1956,161.889
1957,150.24
1958,178.804
1959,156.053
1960,113.362
1961,109.796
1962,56.2583
1963,169.666
1964,117.712
1965,77.8524
1966,124.185
1967,97.3532
1968,39.9963
1969,120.758
1970,114.867
1971,86.4123
1972,163.372
1973,136.205
1974,60.8139
1975,127.82
1976,38.1353
1977,156.393
1978,126.23
1979,107.62
1980,143.172
1981,95.8748
1982,178.743
1983,140.409
1984,64.9433
1985,132.463
1986,186.47
1987,89.0098
1988,42.7669
1989,168.297
1990,123.035
1991,34.3432
1992,68.3817
1993,76.1364
1994,156.674
1995,199.973
1996,78.4963
1997,128.51
1998,47.493
1999,99.91
2000,94.5854
2001,199.671
2002,107.456
2003,93.3847
2004,103.921
2005,124.328
2006,170.334
2007,125.902
2008,185.92
2009,109.832
2010,30.197
2011,160.088
2012,108.996
2013,150.245
2014,190.082
2015,185.451
2016,193.387
2017,48.959
2018,47.8303
2019,109.764
2020,182.38
2021,147.086
2022,120.889
2023,70.1407
2024,87.7509
2025,158.675
2026,102.446
2027,178.963
2028,55.8846
2029,152.674
2030,128.102
2031,139.048
